date,severity,distress_id,distress_type,latitude,longitude,ydt,ydt_long,month,vegsystemreferanse,met_source,sum_precipitation,max_temp,min_temp,ft_cycles
2020-01-15,0,1,8,63.426821,10.442069,9500,7,1,FV6664 S1D1 m3018,SN68050,185,11.2,-11.6,4
2020-02-05,0,1,8,63.426821,10.442069,9500,7,2,FV6664 S1D1 m3018,SN68050,178.3,13.1,-5.4,9
2020-02-26,0,1,8,63.426821,10.442069,9500,7,2,FV6664 S1D1 m3018,SN68050,167.9,8.8,-9.9,7
2020-03-18,0,1,8,63.426821,10.442069,9500,7,3,FV6664 S1D1 m3018,SN68050,31.5,10.5,-13.4,13
2020-04-08,0,1,8,63.426821,10.442069,9500,7,4,FV6664 S1D1 m3018,SN68050,94.6,10.6,-6.8,6
2020-01-15,1,2,3,63.444854,10.437603,9000,9,1,FV6668 S1D1 m1567,SN68050,185,11.2,-11.6,4
2020-02-05,1,2,3,63.444854,10.437603,9000,9,2,FV6668 S1D1 m1567,SN68050,178.3,13.1,-5.4,9
2020-02-26,1,2,3,63.444854,10.437603,9000,9,2,FV6668 S1D1 m1567,SN68050,167.9,8.8,-9.9,7
2020-03-18,1,2,3,63.444854,10.437603,9000,9,3,FV6668 S1D1 m1567,SN68050,31.5,10.5,-13.4,13
2020-04-08,1,2,3,63.444854,10.437603,9000,9,4,FV6668 S1D1 m1567,SN68050,94.6,10.6,-6.8,6
2020-01-15,0,3,8,63.442884,10.434152,9000,9,1,FV6668 S1D1 m1288,SN68050,185,11.2,-11.6,4
2020-02-05,0,3,8,63.442884,10.434152,9000,9,2,FV6668 S1D1 m1288,SN68050,178.3,13.1,-5.4,9
2020-02-26,0,3,8,63.442884,10.434152,9000,9,2,FV6668 S1D1 m1288,SN68050,167.9,8.8,-9.9,7
2020-03-18,1,3,8,63.442884,10.434152,9000,9,3,FV6668 S1D1 m1288,SN68050,31.5,10.5,-13.4,13
2020-04-08,1,3,8,63.442884,10.434152,9000,9,4,FV6668 S1D1 m1288,SN68050,94.6,10.6,-6.8,6
2020-01-15,1,4,4,63.441789,10.429819,6200,9,1,FV6668 S1D1 m983,SN68050,185,11.2,-11.6,4
2020-02-05,1,4,4,63.441789,10.429819,6200,9,2,FV6668 S1D1 m983,SN68050,178.3,13.1,-5.4,9
2020-02-26,1,4,4,63.441789,10.429819,6200,9,2,FV6668 S1D1 m983,SN68050,167.9,8.8,-9.9,7
2020-03-18,2,4,4,63.441789,10.429819,6200,9,3,FV6668 S1D1 m983,SN68050,31.5,10.5,-13.4,13
2020-04-08,2,4,4,63.441789,10.429819,6200,9,4,FV6668 S1D1 m983,SN68050,94.6,10.6,-6.8,6
2020-01-15,1,5,4,63.441817,10.429543,6200,9,1,FV6668 S1D1 m968,SN68050,185,11.2,-11.6,4
2020-02-05,1,5,4,63.441817,10.429543,6200,9,2,FV6668 S1D1 m968,SN68050,178.3,13.1,-5.4,9
2020-02-26,1,5,4,63.441817,10.429543,6200,9,2,FV6668 S1D1 m968,SN68050,167.9,8.8,-9.9,7
2020-03-18,1,5,4,63.441817,10.429543,6200,9,3,FV6668 S1D1 m968,SN68050,31.5,10.5,-13.4,13
2020-04-08,1,5,4,63.441817,10.429543,6200,9,4,FV6668 S1D1 m968,SN68050,94.6,10.6,-6.8,6
2020-01-15,1,6,4,63.440169,10.423627,7600,7,1,FV6668 S1D1 m561,SN68050,185,11.2,-11.6,4
2020-02-05,1,6,4,63.440169,10.423627,7600,7,2,FV6668 S1D1 m561,SN68050,178.3,13.1,-5.4,9
2020-02-26,2,6,4,63.440169,10.423627,7600,7,2,FV6668 S1D1 m561,SN68050,167.9,8.8,-9.9,7
2020-03-18,2,6,4,63.440169,10.423627,7600,7,3,FV6668 S1D1 m561,SN68050,31.5,10.5,-13.4,13
2020-04-08,2,6,4,63.440169,10.423627,7600,7,4,FV6668 S1D1 m561,SN68050,94.6,10.6,-6.8,6
2020-01-15,0,7,4,63.440104,10.423536,7600,7,1,FV6668 S1D1 m553,SN68050,185,11.2,-11.6,4
2020-02-05,0,7,4,63.440104,10.423536,7600,7,2,FV6668 S1D1 m553,SN68050,178.3,13.1,-5.4,9
2020-02-26,1,7,4,63.440104,10.423536,7600,7,2,FV6668 S1D1 m553,SN68050,167.9,8.8,-9.9,7
2020-03-18,1,7,4,63.440104,10.423536,7600,7,3,FV6668 S1D1 m553,SN68050,31.5,10.5,-13.4,13
2020-04-08,1,7,4,63.440104,10.423536,7600,7,4,FV6668 S1D1 m553,SN68050,94.6,10.6,-6.8,6
2020-01-15,0,8,8,63.44004,10.423472,7600,7,1,FV6668 S1D1 m545,SN68050,185,11.2,-11.6,4
2020-02-05,0,8,8,63.44004,10.423472,7600,7,2,FV6668 S1D1 m545,SN68050,178.3,13.1,-5.4,9
2020-02-26,0,8,8,63.44004,10.423472,7600,7,2,FV6668 S1D1 m545,SN68050,167.9,8.8,-9.9,7
2020-03-18,0,8,8,63.44004,10.423472,7600,7,3,FV6668 S1D1 m545,SN68050,31.5,10.5,-13.4,13
2020-04-08,0,8,8,63.44004,10.423472,7600,7,4,FV6668 S1D1 m545,SN68050,94.6,10.6,-6.8,6
2020-01-15,0,9,8,63.439418,10.422645,7600,7,1,FV6668 S1D1 m464,SN68050,185,11.2,-11.6,4
2020-02-05,0,9,8,63.439418,10.422645,7600,7,2,FV6668 S1D1 m464,SN68050,178.3,13.1,-5.4,9
2020-02-26,1,9,8,63.439418,10.422645,7600,7,2,FV6668 S1D1 m464,SN68050,167.9,8.8,-9.9,7
2020-03-18,1,9,8,63.439418,10.422645,7600,7,3,FV6668 S1D1 m464,SN68050,31.5,10.5,-13.4,13
2020-04-08,1,9,8,63.439418,10.422645,7600,7,4,FV6668 S1D1 m464,SN68050,94.6,10.6,-6.8,6
2020-01-15,0,10,4,63.438999,10.422093,7600,7,1,FV6668 S1D1 m410,SN68050,185,11.2,-11.6,4
2020-02-05,0,10,4,63.438999,10.422093,7600,7,2,FV6668 S1D1 m410,SN68050,178.3,13.1,-5.4,9
2020-02-26,0,10,4,63.438999,10.422093,7600,7,2,FV6668 S1D1 m410,SN68050,167.9,8.8,-9.9,7
2020-03-18,0,10,4,63.438999,10.422093,7600,7,3,FV6668 S1D1 m410,SN68050,31.5,10.5,-13.4,13
2020-04-08,0,10,4,63.438999,10.422093,7600,7,4,FV6668 S1D1 m410,SN68050,94.6,10.6,-6.8,6
2020-01-15,0,11,4,63.438454,10.419083,7600,7,1,FV6668 S1D1 m237,SN68050,185,11.2,-11.6,4
2020-02-05,0,11,4,63.438454,10.419083,7600,7,2,FV6668 S1D1 m237,SN68050,178.3,13.1,-5.4,9
2020-02-26,0,11,4,63.438454,10.419083,7600,7,2,FV6668 S1D1 m237,SN68050,167.9,8.8,-9.9,7
2020-03-18,0,11,4,63.438454,10.419083,7600,7,3,FV6668 S1D1 m237,SN68050,31.5,10.5,-13.4,13
2020-04-08,2,11,4,63.438454,10.419083,7600,7,4,FV6668 S1D1 m237,SN68050,94.6,10.6,-6.8,6
2020-01-15,0,12,8,63.438454,10.419083,7600,7,1,FV6668 S1D1 m237,SN68050,185,11.2,-11.6,4
2020-02-05,0,12,8,63.438454,10.419083,7600,7,2,FV6668 S1D1 m237,SN68050,178.3,13.1,-5.4,9
2020-02-26,0,12,8,63.438454,10.419083,7600,7,2,FV6668 S1D1 m237,SN68050,167.9,8.8,-9.9,7
2020-03-18,1,12,8,63.438454,10.419083,7600,7,3,FV6668 S1D1 m237,SN68050,31.5,10.5,-13.4,13
2020-04-08,2,12,8,63.438454,10.419083,7600,7,4,FV6668 S1D1 m237,SN68050,94.6,10.6,-6.8,6
